epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1079.51,0.68577,0.33627,0.89702,0.99105,1,0.995,0.76503,0.93719,0.3318,0.96564,0.00105646,0.00105646,0.00105646
81,1093.02,0.68648,0.32734,0.8914,0.99161,1,0.995,0.75221,1.02446,0.35606,1.00005,0.00105174,0.00105174,0.00105174
82,1106.3,0.68737,0.33318,0.89898,0.97691,0.99658,0.995,0.74973,1.05735,0.37454,1.01154,0.00104703,0.00104703,0.00104703
83,1119.58,0.67773,0.33017,0.88915,0.98908,1,0.995,0.75895,1.02623,0.34105,0.99931,0.00104231,0.00104231,0.00104231
84,1132.94,0.66643,0.32677,0.88628,0.99774,1,0.995,0.74341,1.02098,0.35227,1.01762,0.0010376,0.0010376,0.0010376
85,1146.23,0.6846,0.33838,0.89276,0.99397,1,0.995,0.73696,1.0615,0.36477,1.01703,0.00103288,0.00103288,0.00103288
86,1159.7,0.68643,0.34122,0.88823,0.98994,1,0.995,0.75005,1.03255,0.35501,1.00332,0.00102817,0.00102817,0.00102817
87,1173.23,0.68831,0.34339,0.9014,0.99243,1,0.995,0.75303,1.01488,0.33561,0.96998,0.00102345,0.00102345,0.00102345
88,1186.74,0.68236,0.33485,0.89539,0.99119,1,0.995,0.76267,0.97435,0.33815,0.97564,0.00101873,0.00101873,0.00101873
89,1200.43,0.66059,0.32671,0.88463,0.98938,1,0.995,0.75336,1.02235,0.34994,0.97741,0.00101402,0.00101402,0.00101402
90,1213.75,0.66088,0.32716,0.88577,0.99599,1,0.995,0.74092,1.00945,0.34759,0.98608,0.0010093,0.0010093,0.0010093
91,1227.2,0.66104,0.33865,0.88435,0.98893,1,0.995,0.73604,1.07919,0.37022,1.04667,0.00100459,0.00100459,0.00100459
92,1240.92,0.67352,0.33601,0.88301,0.99358,1,0.995,0.75051,1.0457,0.35467,1.03161,0.000999871,0.000999871,0.000999871
93,1254.61,0.66861,0.3351,0.88216,0.99504,1,0.995,0.75601,1.0655,0.36046,1.03857,0.000995156,0.000995156,0.000995156
94,1268.37,0.65836,0.33146,0.8864,0.99554,1,0.995,0.75739,0.99768,0.35306,0.99402,0.00099044,0.00099044,0.00099044
95,1282,0.66897,0.33268,0.88537,0.99157,1,0.995,0.72766,1.1187,0.37963,1.05978,0.000985724,0.000985724,0.000985724
96,1295.6,0.64739,0.31732,0.87929,0.99533,1,0.995,0.75186,1.00261,0.33737,1.01859,0.000981008,0.000981008,0.000981008
97,1309.06,0.65216,0.32522,0.8825,0.99229,1,0.995,0.71405,1.08002,0.38186,1.03702,0.000976293,0.000976293,0.000976293
98,1322.57,0.64068,0.3223,0.87953,0.98818,1,0.995,0.73866,1.10034,0.37031,1.0364,0.000971577,0.000971577,0.000971577
99,1335.95,0.64367,0.31808,0.87735,0.9948,1,0.995,0.72339,1.13805,0.36527,1.07125,0.000966861,0.000966861,0.000966861
100,1349.39,0.65802,0.32446,0.88104,0.99185,1,0.995,0.71664,1.12114,0.36852,1.06588,0.000962146,0.000962146,0.000962146
101,1363.07,0.63667,0.32039,0.87397,0.99431,1,0.995,0.70493,1.1912,0.38048,1.09485,0.00095743,0.00095743,0.00095743
102,1376.59,0.62115,0.3156,0.86842,0.99004,1,0.995,0.75645,1.04436,0.34504,1.04153,0.000952714,0.000952714,0.000952714
103,1390.15,0.64216,0.32294,0.87217,0.99824,1,0.995,0.73718,1.02956,0.36035,1.01034,0.000947999,0.000947999,0.000947999
104,1403.72,0.62617,0.31378,0.87133,0.99078,1,0.995,0.7508,1.02271,0.35481,0.99887,0.000943283,0.000943283,0.000943283
105,1417.47,0.64337,0.32007,0.88102,0.98993,1,0.995,0.74538,1.09582,0.36798,1.04434,0.000938567,0.000938567,0.000938567
